e-SUS - Atenção Primária
MINISTÉRIO DA SAÚDE
ESTADO DE PERNAMBUCO
MUNICÍPIO DE RECIFE
UNIDADE DE SAÚDE US 106 CS PROF JOAQUIM CAVALCANTE

Relatório de cadastro individual - Analítico

FILTROS
Data;27/01/2025
Equipe;Todas
Profissional;Todos
CBO;Todos
Filtros personalizados;Nenhum


Dados processados em ;27/01/2025; às ;00:12;
Gerado em ;27/01/2025; às ;22:31; por ;Bruno Henrique da Gama Santos

O resultado pode contemplar informações de equipes vinculadas.

Dados gerais
Descrição;Quantidade;
Cidadãos ativos;14260;
Saída de cidadãos do cadastro;1683;

Identificação do usuário / cidadão - Faixa etária
Descrição;Masculino;Feminino;Indeterminado;Não informado;
Menos de 01 ano;157;148;0;1;
01 ano;104;125;0;0;
02 anos;101;92;0;0;
03 anos;108;116;0;0;
04 anos;93;104;0;0;
05 a 09 anos;526;486;0;0;
10 a 14 anos;455;440;0;0;
15 a 19 anos;398;498;0;0;
20 a 24 anos;404;518;0;0;
25 a 29 anos;347;599;0;0;
30 a 34 anos;306;516;0;0;
35 a 39 anos;321;514;0;1;
40 a 44 anos;322;538;0;0;
45 a 49 anos;334;599;0;0;
50 a 54 anos;332;590;0;0;
55 a 59 anos;371;678;0;0;
60 a 64 anos;350;551;0;0;
65 a 69 anos;236;437;0;0;
70 a 74 anos;175;396;0;0;
75 a 79 anos;118;273;0;0;
80 anos ou mais;120;362;0;0;
Não informado;0;0;0;0;

Identificação do usuário / cidadão
Descrição;Sim;Não;Não informado;
Desconhece nome da mãe;175;14085;;
Desconhece nome do pai;3648;10612;;
Responsável familiar;5777;8480;3;

Identificação do usuário / cidadão - Sexo
Descrição;Quantidade;
Masculino;5678;
Feminino;8580;
Indeterminado;0;
Não informado;2;

Identificação do usuário / cidadão - Raça / Cor
Descrição;Quantidade;
Branca;2841;
Preta;1496;
Amarela;54;
Parda;9867;
Indígena;1;
Não informado;1;

Identificação do usuário / cidadão - Etnia
Descrição;Quantidade;
ATIKUM (ATICUM);1;
Não informado;14259;

Identificação do usuário / cidadão - Nacionalidade
Descrição;Quantidade;
Brasileira;14250;
Naturalizado;0;
Estrangeiro;10;
Não informado;0;

Informações sociodemográficas - Relação de parentesco com o responsável familiar
Descrição;Quantidade;
Cônjuge / Companheiro(a);1465;
Filho(a);3435;
Enteado(a);77;
Neto(a) / Bisneto(a);660;
Pai / Mãe;221;
Sogro(a);29;
Irmão / Irmã;225;
Genro / Nora;90;
Outro parente;274;
Não parente;106;
Não informado;7678;

Informações sociodemográficas - Ocupação
Descrição;Quantidade;
ABATEDOR;1;
ACABADOR DE CALÇADOS;3;
ACABADOR DE SUPERFÍCIES DE CONCRETO;2;
AÇOUGUEIRO;11;
ADESTRADOR DE ANIMAIS;1;
ADMINISTRADOR;45;
ADMINISTRADOR DE BANCO DE DADOS;2;
ADMINISTRADOR DE EDIFÍCIOS;1;
ADMINISTRADOR DE REDES;2;
ADMINISTRADOR DE SISTEMAS OPERACIONAIS;3;
ADMINISTRADOR EM SEGURANÇA DA INFORMAÇÃO;1;
ADVOGADO;7;
ADVOGADO (DIREITO CIVIL);1;
AFRETADOR;1;
AGENTE COMUNITÁRIO DE SAÚDE;18;
AGENTE DE COMBATE ÀS ENDEMIAS;1;
AGENTE DE COMBATE ÀS ENDEMIAS;1;
AGENTE DE PORTARIA;8;
AGENTE DE SAÚDE PÚBLICA;1;
AGENTE DE SEGURANÇA;7;
AGENTE DE SEGURANÇA PENITENCIÁRIA;1;
AGENTE DE TRÂNSITO;1;
AGENTE DE VENDAS DE SERVIÇOS;1;
AJUDANTE DE MOTORISTA;5;
AJUSTADOR MECÂNICO;5;
ALFAIATE;1;
ALIMENTADOR DE LINHA DE PRODUÇÃO;1;
ALMOXARIFE;6;
ANALISTA DE DESENVOLVIMENTO DE SISTEMAS;2;
ANALISTA DE INFORMAÇÕES (PESQUISADOR DE INFORMAÇÕES DE REDE);1;
ANALISTA DE MÍDIAS SOCIAIS;2;
ANALISTA DE NEGÓCIOS;1;
ANALISTA DE PLANEJAMENTO E ORÇAMENTO - APO;1;
ANALISTA DE RECURSOS HUMANOS;3;
ANALISTA DE SINISTROS;1;
ANALISTA DE SISTEMAS DE AUTOMAÇÃO;3;
ANALISTA DE SUPORTE COMPUTACIONAL;3;
APONTADOR DE PRODUÇÃO;1;
ARQUIVISTA;1;
ARQUIVISTA DE DOCUMENTOS;1;
ARTESÃO BORDADOR;2;
ARTESÃO CERAMISTA;1;
ARTESÃO COM MATERIAL RECICLÁVEL;6;
ARTESÃO CROCHETEIRO;2;
ARTESÃO ESCULTOR;2;
ARTESÃO MODELADOR (VIDROS);1;
ARTESÃO TECELÃO;1;
ARTISTA (ARTES VISUAIS);1;
ARTISTA DE CIRCO (OUTROS);2;
ASSISTENTE ADMINISTRATIVO;13;
ASSISTENTE DE VENDAS;6;
ASSISTENTE SOCIAL;1;
ATENDENTE COMERCIAL (AGÊNCIA POSTAL);12;
ATENDENTE DE ENFERMAGEM;4;
ATENDENTE DE FARMÁCIA - BALCONISTA;10;
ATENDENTE DE LANCHONETE;37;
ATENDENTE DE LOJAS E MERCADOS;7;
ATLETA PROFISSIONAL DE FUTEBOL;2;
ATLETA PROFISSIONAL DE LUTA;1;
AUDITOR (CONTADORES E AFINS);1;
AUXILIAR DE CONTABILIDADE;9;
AUXILIAR DE CORTE (PREPARAÇÃO DA CONFECÇÃO DE ROUPAS);3;
AUXILIAR DE DESENVOLVIMENTO INFANTIL;10;
AUXILIAR DE ENFERMAGEM;16;
AUXILIAR DE ENFERMAGEM DO TRABALHO;2;
AUXILIAR DE ESCRITÓRIO;52;
AUXILIAR DE FARMÁCIA DE MANIPULAÇÃO;3;
AUXILIAR DE FATURAMENTO;3;
AUXILIAR DE LABORATÓRIO DE ANÁLISES CLÍNICAS;3;
AUXILIAR DE LABORATÓRIO DE ANÁLISES FÍSICO-QUÍMICAS;1;
AUXILIAR DE LAVANDERIA;9;
AUXILIAR DE MANUTENÇÃO PREDIAL;6;
AUXILIAR DE PESSOAL;10;
AUXILIAR DE PRODUÇÃO FARMACÊUTICA;2;
AUXILIAR DE SERVIÇOS DE IMPORTAÇÃO E EXPORTAÇÃO;1;
AUXILIAR DE SERVIÇOS JURÍDICOS;2;
AUXILIAR DE VETERINÁRIO;1;
AUXILIAR EM SAÚDE BUCAL;3;
AUXILIAR GERAL DE CONSERVAÇÃO DE VIAS PERMANENTES (EXCETO TRILHOS);5;
